"","x"
"1",2.22513444745635
"2",1.64185654680587
"3",0.571291981672938
"4",2.00904320786732
"5",0.540251107751569
"6",3.28222037572935
"7",2.35315849212276
"8",1.20891297646447
"9",1.63971676947454
"10",3.39422309618585
"11",8.22662744552096
"12",3.78702120431498
"13",0.88854185291902
"14",1.360663247092
"15",1.85091201720916
"16",2.02309143297738
"17",2.76888469180886
"18",1.7847845728665
"19",2.48064785600135
"20",4.96943772333867
"21",6.48254560842041
"22",3.16318322112513
"23",3.35616866863481
"24",6.07423740878566
"25",2.2864188753577
"26",2.03120858830268
"27",4.91499073982021
"28",1.25025377203027
"29",1.91938906199064
"30",0.575111494076257
"31",1.06211459345035
"32",0.657214651735276
"33",5.51804004995111
"34",2.18454272937176
"35",6.82972257586907
"36",3.52922071601096
"37",4.86933304013947
"38",1.50962510293323
"39",3.22541311540886
"40",4.09977172304116
"41",2.96281588655624
"42",1.32360932242551
"43",8.26522786945329
"44",6.07262285343665
"45",1.59624085624771
"46",1.91018436979295
"47",0.307714191354382
"48",3.26814159440033
"49",2.23544968371444
"50",3.44248212076089
"51",3.00187810160309
"52",1.05233226040836
"53",2.00372906570066
"54",1.70037789175078
"55",3.12747490920273
"56",1.44139713914213
"57",4.01450085597742
"58",3.91703306798163
"59",1.95990183373557
"60",3.1836159309735
"61",3.39928394980121
"62",4.53317312908712
"63",5.82226994880054
"64",3.97468037738765
"65",2.42159525459458
"66",1.63599579502337
"67",6.61748698057391
"68",1.61797677639046
"69",2.06762948737735
"70",5.27620369254551
"71",3.46087283622168
"72",2.9834346328826
"73",1.46289774583456
"74",2.41834296885621
"75",3.66714246433153
"76",3.14410373126377
"77",3.18841155631375
"78",8.5072810410964
"79",3.63150095301003
"80",1.38272434449184
"81",4.49742878373456
"82",0.550648397322019
"83",5.20923558613827
"84",2.09612318379408
"85",3.9081773898149
"86",2.13405485583739
"87",4.58669035267692
"88",1.35606306490865
"89",1.3600786825283
"90",4.71129595242674
"91",3.16887188866681
"92",4.35744478457148
"93",4.97323086828763
"94",1.63760394971353
"95",1.20044937587054
"96",4.11158813943801
"97",3.94313951561175
"98",3.43276438216368
"99",0.903326167291865
"100",2.18170481304291
